ngirim: kirim
hadehhhh : kecewa
aduh : kecewa
mndaftar : mendaftar
crasshhh : crash
yeeey : senang
eehh : lalu
na : nya
napa : mengapa
trlalu : terlalu
lmyan : lumayan
paswort : password
ngbrowser : buka browser
terdabestt : sangat the best
hhehehehe : tertawa
gut : good
hum : oke
teruuusss : terus
gangguan2 : gangguan
lebh : lebih
lemoootttttt : lambat
paraahh : sekali
laamaa : lambat
goof : good
priduknya : produknya
ew : buruk
terozzzz : terus
nosa : bisa
hmmm : heran
ii : mantap
ps : playstore
installll : install
selengkap : lengkap
truzs : terus
aaah : ah
parahhhhhhhh : buruk
ajaaaa : saja
gassss : ambil
cacattt : cacat
seneng : senang
sociolla : sociola
semena2 : seenaknya
sociila : sociola
terus2an : terus-terusan
keluar2 : keluar-keluar
ngaco : error
2hr : 2 hari
3hr : 3 hari
gimana : bagaimana
25rb : 25ribu
17k : 17ribu
3x : 3 kali
itu2 : itu-itu
jelas2 : jelas-jelas
error2 : error-error
akhir2 : akhir-akhir
250k : 250ribu
2x : 2 kali
tanya2 : tanya-tanya
lama2 : lama-lama
/ : atau
mahalll : mahal
member2 : member-member
bisa2 : bisa-bisa
ok² : oke-oke
6x : 6 kali
ganti2 : ganti-ganti
nyuruh : perintah
brng : barang
lohhh : lho
29th : 29 tahun
kenapa² : kenapa-kenapa
fine2 : fine-fine
12rb : 12ribu
dr2 : dari dua
5x : 5 kali
review2nya : review-reviewnya
dahlahhhhhhh : sudahlah
temen : teman
insyaalloh : insyaallah
takut2 : takut-takut
untk : untuk
250k : 250ribu
gabisakan : tidak bisa
kurangin : dikurang
pesenanku : pesanan saya
sap : sampai
gemesh : gemas
ngerivew : mereview
ngilang : menghilang
gituu : seperti itu
mahall : mahal
update2 : update-update
trnsfer : transfer
dklik : diklik
brand2 : brand-brand
supeer : super
rempong : sulit
apaansih : apaan sih
sblum : sebelum
& : dan
1pun : satupun
7an : tujuan
@ : di
Dr : dokter
Jkt : Jakarta
Jkw : jokowi
Napza : narkoba psikotropika dan zat adiktif
Nasihat : nasehat
SE : Surat Edaran
ababil : abg labil
abis : habis
acc : accord
accord : sesuai
ad : ada
adl : adalah
adlah : adalah
adlh : adalah
administ : administrasi
adoh : aduh
afaik : as far as i know
agma : agama
aha : tertawa
ahaha : haha
ahiok : ahok
ahoax : ahok
ahokncc : ahok
aing : saya
aj : aja
aj : saja
aja : saja
ajak2 : ajak-ajak
ajep-ajep : dunia gemerlap
ajj : saja
ak : aku
aka : dikenal juga sebagai
akherat : akhirat
akhirx : akhirnya
akika : aku
akko : aku
akkoh : aku
akku : aku
akn : akan
aktifis2 : aktivis-aktivis
aktivi : aktivis
aktivis2 : aktivis-aktivis
akun2 : akun-akun
akuwh : aku
akyu : aku
alay : norak
aleg : caleg
alih2 : alih-alih
aljasa : asal jadi saja
almaidahyg : almaidah
alow : halo
ama : sama
ambilin : ambilkan
ambl : ambil
amerik : amarika
anak2 : anak-anak
analisise : analisis
ancur : hancur
angis : nangis
anjay : anjing
anjir : anjing
anjrit : anjing
ank : anak
anter : antar
ap : apa
ap2 : apa-apa
apaan : apa
apasih : apa sih
ape : apa
apes : sial
aplot : unggah
aps : apa
apva : apa
aq : saya
aqu : aku
aquwh : aku
as : amerika serikat
asap : sesegera mungkin
asbun : asal bunyi
aseek : asyik
aseekk : asyik
asek : asyik
asekk : asik
asekk : asyik
aseknya : asyiknya
asem : asam
asoy : asyik
aspal : asli tetapi palsu
astrojim : astagfirullahaladzim
astul : asal tulis
ath : kalau begitu
ato : atau
ats : atas
atuh : kalau begitu
atvsi : asosiasi televisi swasta indonesia
au : angkatan udara
au ah : tidak mau tahu
ava : avatar
awak : saya
aws : awas
ay : sayang
ayang : sayang
ayank : sayang
ayat2 : ayat-ayat
ayok : ayo
b2 : berdua
b4 : sebelum
bacot : banyak bicara
bajir : banjir
